transaction_id,account_id,amount,currency,timestamp,merchant_name,category
TX001,ACC123456,150.50,USD,2024-01-15T10:30:00Z,Coffee Shop,dining
TX002,ACC789012,2500.00,USD,2024-01-15T11:00:00Z,Electronics Store,shopping
TX003,ACC123456,-50.00,USD,2024-01-15T12:15:00Z,Gas Station,transport
TX004,ACC345678,999999.99,USD,2024-01-15T13:00:00Z,Luxury Cars,automotive
TX005,ACC123456,75.25,EUR,2024-01-15T14:30:00Z,Restaurant,dining
TX006,,,USD,2024-01-15T15:00:00Z,Grocery Store,groceries
TX007,ACC789012,50.00,USD,invalid-timestamp,Book Store,shopping
TX008,ACC123456,200.00,USD,2024-01-15T16:00:00Z,,dining
TX009,ACC999999,1000.00,ZZZ,2024-01-15T17:00:00Z,Hotel,travel
TX010,ACC123456,45.75,USD,2024-01-15T18:00:00Z,Movie Theater,entertainment
TX011,ACC789012,0.00,USD,2024-01-15T19:00:00Z,Free Sample,shopping
TX012,ACC123456,300.00,USD,2024-01-15T20:00:00Z,Pharmacy,healthcare
TX013,ACC345678,5000.00,USD,2024-01-15T21:00:00Z,Department Store,shopping
TX014,ACC123456,25.50,USD,2024-01-15T22:00:00Z,Fast Food,dining
TX015,ACC789012,150.00,GBP,2024-01-15T23:00:00Z,Online Store,shopping
