transaction_id,account_id,timestamp,amount,transaction_type,beneficiary_id,currency
TX001,ACC001,2024-01-15T10:00:00Z,5000.00,DEBIT,BEN123,USD
TX002,ACC001,2024-01-15T10:00:30Z,5000.00,DEBIT,BEN124,USD
TX003,ACC001,2024-01-15T10:01:00Z,5000.00,DEBIT,BEN125,USD
TX004,ACC001,2024-01-15T10:01:15Z,3000.00,DEBIT,BEN126,USD
TX005,ACC002,2024-01-15T10:05:00Z,15000.00,CREDIT,BEN127,USD
TX006,ACC003,2024-01-15T10:10:00Z,100.00,DEBIT,BEN128,USD
TX007,ACC001,2024-01-15T10:15:00Z,9999.99,CREDIT,BEN129,USD
TX008,ACC004,2024-01-15T10:20:00Z,3000.00,DEBIT,BEN130,USD
TX009,ACC004,2024-01-15T10:20:15Z,3000.00,CREDIT,BEN130,USD
TX010,ACC005,2024-01-15T10:25:00Z,10000.00,DEBIT,BEN131,USD
TX011,ACC006,2024-01-15T10:30:00Z,7500.50,CREDIT,BEN132,USD
TX012,ACC007,2024-01-15T10:35:00Z,20000.00,DEBIT,BEN133,USD
TX013,ACC007,2024-01-15T10:35:20Z,8000.00,DEBIT,BEN134,USD
TX014,ACC008,2024-01-15T10:40:00Z,4500.00,CREDIT,BEN135,USD
TX015,ACC009,2024-01-15T10:45:00Z,12000.00,DEBIT,BEN136,USD
TX016,ACC009,2024-01-15T10:45:30Z,5000.00,DEBIT,BEN137,USD
TX017,ACC009,2024-01-15T10:46:00Z,3000.00,DEBIT,BEN138,USD
TX018,ACC010,2024-01-15T10:50:00Z,2500.00,DEBIT,BEN139,USD
TX019,ACC010,2024-01-15T10:52:00Z,2500.00,CREDIT,BEN139,USD
TX020,ACC011,2024-01-15T10:55:00Z,50000.00,DEBIT,BEN140,USD
